,comfort reward,energy reward
0,-0.0,-1.5248689534142459
1,-0.0,-1.5248689534142459
2,-0.0,-1.5248689534142459
3,-0.0,-98.06086376818075
4,-0.0,-2.033701262331679
5,-0.0,-1.933882835826577
6,-0.0,-1.832108707744996
7,-0.0,-34.6139081990972
8,-0.0,-1.5248689534142459
9,-0.0,-1.5248689534142459
10,-0.0,-1.5248689534142459
11,-0.0,-1.5248689534142459
12,-0.0,-2.553693198542864
13,-0.0,-55.895518528955606
14,-0.0,-1.5248689534142459
15,-0.0,-1.5975258364381488
16,-0.0,-1.5248689534142459
17,-0.0,-56.986164503068615
18,-0.0,-89.27749509233746
19,-0.0,-2.1558128029153907
20,-0.0,-1.8001411284989082
21,-0.0,-88.98161936336008
22,-0.0,-1.5248689534142459
23,-0.0,-10.66289976725327
24,-0.0,-1.5248689534142459
25,-0.0,-1.5248689534142459
26,-0.0,-1.8042672291292499
27,-0.0,-2.1698828271002797
28,-0.0,-2.169882806032925
29,-0.0,-2.169882806032925
30,-0.0,-2.169882806032925
31,-0.0,-2.169882806032925
32,-3.8804682453187165,-0.3402530447365597
33,-4.498088506693577,-6.184163209901175
34,-4.700672828000296,-4.016601054816988
35,-4.586091779040119,-4.433390884882569
36,-4.502934819525565,-17.00319895480861
37,-3.8078888686186487,-3.9858986087178367
38,-3.488932271055114,-4.583490233716683
39,-3.1460146937527482,-4.377079480846189
40,-2.8769777040657227,-4.308137375274535
41,-4.2166275099937724,-8.839202116970936
42,-3.0611978825970625,-4.689684709373746
43,-2.7,-4.349769164858797
44,-2.7,-4.141549743184125
45,-2.7,-4.185976649038874
46,-3.570432226852986,-8.229387302881156
47,-2.7,-4.063098564672293
48,-2.7,-3.4914149258411613
49,-2.7,-3.524970781567104
50,-2.7,-3.533615852838928
51,-2.7,-3.529106894674386
52,-4.153837845059367,-13.095166029805771
53,-2.7,-3.8856967012078347
54,-2.7,-3.958963316181421
55,-2.7,-4.0863205144721295
56,-2.7,-4.3608120519032925
57,-2.7,-4.564390291952463
58,-2.7,-4.524014092253583
59,-2.7,-4.580126503281544
60,-2.7,-4.644579580363115
61,-2.7,-4.767998096709937
62,-4.169732117542919,-18.7498414533764
63,-3.471294977709045,-6.476220327241345
64,-2.7,-4.347021671109891
65,-2.7,-4.769860768502889
66,-2.7,-4.781856421964829
67,-4.030615175632179,-9.723617492136718
68,-3.221767774887892,-5.028535828227019
69,-4.440824133946703,-17.801758989327602
70,-3.6442420071032346,-4.610065547637607
71,-3.411297427530962,-4.239748693674134
72,-4.443215192637246,-8.786944856611864
73,-4.6398483978379215,-5.5682108903760845
74,-4.940548606860175,-5.418206484656542
75,-5.33649695988274,-5.266407884793217
76,-6.050877740818684,-5.083116154533613
77,-6.655320809538066,-4.915858324853041
78,-6.32723230339058,-8.754040179708026
79,-7.063788002819362,-5.4477510508555484
80,-7.7252681035934465,-4.704064347771184
81,-8.122709442673406,-4.602913045172316
82,-6.38659022867251,-14.62520181246065
83,-6.442401744940083,-0.34965713647767155
84,-0.0,-14.255231635776411
85,-0.0,-1.5248689534142459
86,-0.0,-1.5248689534142459
87,-0.0,-24.672429337246257
88,-0.0,-1.5248689534142459
89,-0.0,-75.81826152201033
90,-0.0,-1.5248689534142459
91,-0.0,-59.66561242866462
92,-0.0,-1.5248689534142459
93,-0.0,-1.5248689534142459
94,-0.0,-1.5248689534142459
95,-0.0,-1.5248689534142459
96,-0.0,-94.93851372354105
97,-0.0,-34.7505977145517
98,-0.0,-1.5248689534142459
99,-0.0,-1.5248689534142459
100,-0.0,-90.89224462400034
101,-0.0,-35.850076863324176
102,-0.0,-59.496163213614324
103,-0.0,-1.5248689534142459
104,-0.0,-23.01820840363652
105,-0.0,-1.5248689534142459
106,-0.0,-1.5248689534142459
107,-0.0,-54.485139859461206
108,-0.0,-1.5248689534142459
109,-0.0,-1.5248689534142459
110,-0.0,-1.5248689534142459
111,-0.0,-128.7619068554732
112,-0.0,-1.53332027032121
113,-0.0,-1.6236281715425949
114,-0.0,-1.7106237022738862
115,-0.0,-128.1746013066003
116,-0.0,-1.5417424629940641
117,-0.0,-107.7543344126852
118,-0.0,-1.5248689534142459
119,-0.0,-1.5248689534142459
120,-0.0,-1.5248689534142459
121,-0.0,-1.5248689534142459
122,-0.0,-68.02562135121867
123,-0.0,-43.32514783212839
124,-0.0,-1.5248689534142472
125,-0.0,-1.5248689534142459
126,-0.0,-1.5248689534142459
127,-0.0,-1.5248689534142459
128,-3.935783908818413,-3.0854528525692024
129,-2.792519309130784,-0.1524868953414247
130,-2.7,-0.4827128365713486
131,-2.7,-1.371942962002258
132,-2.7,-0.3748036630947283
133,-4.020789696190668,-9.229680378877456
134,-2.905317581635367,-4.4497252006928285
135,-2.7,-4.5998999359863575
136,-2.7,-4.23701640846439
137,-2.7,-4.246655760579995
138,-2.7,-4.422137729412489
139,-2.7,-3.9769374130209987
140,-2.7,-4.42401752571285
141,-2.7,-3.973858675826713
142,-2.7,-4.048662160794176
143,-2.7,-4.1294026023192325
144,-5.570393768045589,-9.681451695958563
145,-4.561944991836213,-6.004422169018982
146,-3.012929696469727,-3.904815545916279
147,-4.405180315790844,-5.916194700671191
148,-2.8295317042723975,-4.039120235828756
149,-2.7,-4.137558160630295
150,-4.318884545595622,-8.999035226100677
151,-4.476901307128396,-6.8931259481826554
152,-2.8076776822885647,-4.474648489970874
153,-2.7,-4.576524041874619
154,-2.7,-4.6740885244102985
155,-2.7,-4.77331437842368
156,-3.5818584592838065,-7.303574495381504
157,-3.459506872621789,-5.878407857953252
158,-2.7,-4.679364461726544
159,-2.7,-4.784814885364778
160,-2.7,-5.195739439785774
161,-2.7,-5.801151795943024
162,-2.7,-5.129629160703504
163,-2.7,-4.688156261880057
164,-2.7,-5.59504783036533
165,-2.7,-4.618614870705136
166,-2.761347831823798,-4.600615895057158
