,comfort reward,energy reward
0,-0.0,-1.5248689534142459
1,-0.0,-91.40372624715593
2,-0.0,-29.899765411545268
3,-0.0,-2.131238045406573
4,-0.0,-2.033701262331679
5,-0.0,-77.65352223186329
6,-0.0,-2.17495519561421
7,-0.0,-1.7271578869023572
8,-0.0,-1.5248689534142459
9,-0.0,-85.48688103402438
10,-0.0,-28.34946200876335
11,-0.0,-1.5248689534142459
12,-0.0,-1.5248689534142459
13,-0.0,-1.5248689534142459
14,-0.0,-87.38103570950462
15,-0.0,-1.5248689534142459
16,-0.0,-1.5248689534142459
17,-0.0,-1.5248689534142459
18,-0.0,-1.795446340435956
19,-0.0,-2.155692411395496
20,-0.0,-92.34320720668018
21,-0.0,-1.5248689534142459
22,-0.0,-59.74354370155291
23,-0.0,-24.822258891082928
24,-0.0,-1.5248689534142459
25,-0.0,-39.739794174691276
26,-0.0,-1.800782803443567
27,-0.0,-2.1698828268776897
28,-0.0,-2.169882806032925
29,-0.0,-2.169882806032925
30,-0.0,-2.169882806032925
31,-0.0,-2.169882806032925
32,-3.35564487082638,-0.4761327341242134
33,-2.7,-0.44669119178522576
34,-3.6499406275591944,-4.458002351667969
35,-3.9685980027498853,-4.475049646548538
36,-3.523093175899333,-4.462052397753385
37,-3.229146338856856,-4.477115443187983
38,-2.989118646249424,-4.485419253054203
39,-2.7827201512534145,-4.506628679397749
40,-2.7,-4.528223221757043
41,-3.448234223446771,-8.096050627415503
42,-2.870896144016754,-5.429367279883121
43,-2.7,-4.487822206516805
44,-3.8478705829564674,-9.291275399249734
45,-2.7,-4.095361156497253
46,-2.7,-4.130419077948938
47,-2.7,-4.175123713077776
48,-2.7,-3.6005974208236866
49,-2.7,-3.592175629583433
50,-2.7,-3.5903445338521522
51,-2.7,-3.578155199809064
52,-2.7,-4.199525577380272
53,-2.7,-4.202305178982604
54,-2.7,-4.277398989383333
55,-2.7,-4.251974759818884
56,-4.172301834573297,-17.06971231697587
57,-2.7,-4.269675943750817
58,-2.7,-4.536479972501306
59,-2.7,-4.438427752041214
60,-2.7,-4.5362595690464875
61,-2.7,-4.589142800005714
62,-2.7,-6.050200847024782
63,-2.7,-4.640940941934016
64,-2.7,-4.71704147832302
65,-2.7,-4.799620873182151
66,-4.25593102884104,-19.323909829692703
67,-3.036903459505833,-4.311884040711806
68,-4.26851302818888,-8.547857159486547
69,-3.316910775678722,-4.3237399723594265
70,-4.48424357505808,-17.05784657634302
71,-3.658457759114719,-4.331891114317586
72,-4.472729066166858,-14.754712020222101
73,-4.6662866815982245,-5.544090646258001
74,-4.978672310204064,-5.403863916344265
75,-5.368794611498317,-5.275521756151087
76,-6.079531726432677,-5.102076353454604
77,-6.601692120789096,-4.956015398121433
78,-7.112318952175416,-4.782123368753185
79,-7.428992629433181,-4.63583426210623
80,-4.726390963309327,-19.09485752314821
81,-6.995690007955525,-4.678810678121488
82,-7.880193059710066,-4.539327338699196
83,-7.247490246772648,-0.5310958524792994
84,-0.0,-2.4407117351391947
85,-0.0,-23.49666704155247
86,-0.0,-10.40822122246535
87,-0.0,-1.5248689534142459
88,-0.0,-1.5248689534142459
89,-0.0,-93.07561022270056
90,-0.0,-31.33729598848649
91,-0.0,-1.5248689534142459
92,-0.0,-1.5248689534142459
93,-0.0,-1.5248689534142459
94,-0.0,-1.5248689534142459
95,-0.0,-1.5248689534142459
96,-0.0,-101.35160111208751
97,-0.0,-1.5248689534142459
98,-0.0,-39.446664953949174
99,-0.0,-1.5248689534142459
100,-0.0,-1.5248689534142459
101,-0.0,-1.5248689534142459
102,-0.0,-1.5248689534142459
103,-0.0,-70.09743404192655
104,-0.0,-1.5248689534142459
105,-0.0,-1.5248689534142459
106,-0.0,-74.3747300672791
107,-0.0,-1.5248689534142459
108,-0.0,-118.030969884089
109,-0.0,-1.5248689534142459
110,-0.0,-1.541762448638091
111,-0.0,-1.693047214419694
112,-0.0,-129.4678737421566
113,-0.0,-32.97544901315436
114,-0.0,-1.663631076632913
115,-0.0,-1.751418609611392
116,-0.0,-12.45653222893746
117,-0.0,-1.7178510308861
118,-0.0,-1.648931666304587
119,-0.0,-1.59183802215415
120,-0.0,-94.29460519336055
121,-0.0,-1.5248689534142459
122,-0.0,-1.5248689534142459
123,-0.0,-1.5248689534142459
124,-0.0,-1.5248689534142459
125,-0.0,-1.5248689534142459
126,-0.0,-1.5248689534142459
127,-0.0,-67.96763455836565
128,-3.8076981868856534,-0.2569129228571677
129,-2.7978958983001343,-0.3515947071178001
130,-2.7,-0.3816373975005223
131,-2.7,-2.741780204975969
132,-2.7,-1.522819748031523
133,-2.7,-4.690031694605307
134,-2.7,-4.116954486601613
135,-4.389522468670496,-12.56741300415788
136,-3.1199649981766355,-4.075266429075839
137,-2.7,-4.14238496153725
138,-2.7,-4.244352705315217
139,-2.7,-0.44892740501290873
140,-2.7,-5.6378082903724085
141,-2.7,-4.053571740956516
142,-2.7,-4.101285336498128
143,-2.7,-4.170167519645764
144,-2.7,-3.4108368136148353
145,-2.7,-3.422127854987201
146,-2.7,-3.4603170180324043
147,-2.7,-3.4971382131864943
148,-2.7872982860050266,-6.703993015517646
149,-2.7,-4.269819964424101
150,-2.969321925359177,-6.053065985427004
151,-2.7,-4.2957825678261345
152,-2.7,-4.737588323213462
153,-2.7,-5.093970422415868
154,-2.7,-4.903353064093706
155,-2.7,-4.9461302450808695
156,-2.7,-5.1203186577171245
157,-2.7,-5.764966118926116
158,-2.7,-4.969795355032833
159,-2.7,-5.062284166494926
160,-2.7,-6.09206002282087
161,-2.7,-4.873700081023964
162,-2.7,-4.858561090902129
163,-2.7,-4.840385219919768
164,-2.7,-4.829980743620463
165,-2.7,-4.782735152401179
166,-2.7,-4.7331208888081
167,-2.799859387224186,-5.251776151460694
168,-4.459813514252983,-17.24779906008082
169,-4.420217188912608,-7.200321153520081
170,-4.7811497678847905,-6.040283981617876
171,-5.173044367089816,-5.535185115911611
172,-5.942292892618947,-5.398598228000398
173,-4.568841603110701,-14.58384469501586
174,-6.586649485214417,-5.069259623078802
175,-5.516901911574793,-0.3346407725463981
176,-4.364166833613866,-2.2272120180566266
177,-4.54045052828637,-0.20877543241378688
178,-4.963857567906293,-0.1524868953414246
179,-4.50741359150453,-2.281096523412759
180,-0.0,-1.5248689534142459
181,-0.0,-1.5248689534142459
182,-0.0,-51.499334470753205
183,-0.0,-1.5248689534142459
184,-0.0,-3.6562323882093644
185,-0.0,-1.5248689534142459
186,-0.0,-75.32675965898181
187,-0.0,-27.203036341208172
188,-0.0,-48.80277556416041
189,-0.0,-1.563719684409876
190,-0.0,-1.5248689534142459
191,-0.0,-1.5248689534142459
192,-0.0,-1.5248689534142459
193,-0.0,-105.5877090058833
194,-0.0,-43.11328952948407
195,-0.0,-7.471691449685185
196,-0.0,-1.5248689534142459
197,-0.0,-37.63440433421919
198,-0.0,-26.64371148560907
199,-0.0,-1.5248689534142459
200,-0.0,-2.928780794499898
201,-0.0,-1.5248689534142459
202,-0.0,-77.50320882599225
203,-0.0,-109.7223918586666
204,-0.0,-69.24306093627408
205,-0.0,-71.79199219791734
206,-0.0,-1.5248689534142459
207,-0.0,-1.5248689534142459
208,-0.0,-1.9004100656975271
209,-0.0,-1.5248689534142459
210,-0.0,-76.97633326016917
211,-0.0,-32.90999598211417
212,-0.0,-2.1749277493871157
213,-0.0,-1.761570615208347
214,-0.0,-1.874409863260752
215,-0.0,-1.991633313789215
216,-0.0,-30.27912522874314
217,-0.0,-1.8880720470103198
218,-0.0,-1.784133219483748
219,-0.0,-1.719330888968096
220,-0.0,-91.3882502333713
221,-0.0,-1.5248689534142459
222,-0.0,-1.5248689534142459
223,-0.0,-1.5248689534142459
224,-6.6232089615724,-0.159237863813145
225,-5.567958192731672,-0.15285435224168067
226,-4.534322699501136,-1.038776801647566
227,-4.1031487482577935,-0.1524868953414246
228,-2.80231451944085,-0.1524868953414246
229,-4.443826380999478,-3.493199835949929
230,-2.7,-0.32972278148872974
231,-2.7,-0.44065974898234456
232,-2.887088943307785,-3.718554837099408
233,-3.6332185639181596,-3.774140810743936
234,-4.472030426961311,-15.990883076528053
235,-4.495993688916881,-11.499941707981542
236,-4.159236365485381,-3.390902621029427
237,-4.054634923848589,-3.4085922509929514
238,-4.041750765595876,-3.4317559813248613
239,-4.024136849637743,-3.4417412859532313
240,-3.809529646748243,-2.920899609221178
241,-3.6203272221372678,-2.9247115244845134
242,-3.5273587814129166,-2.941900381031565
243,-3.4782471146416136,-2.948585659798466
244,-3.7054852706285644,-3.5533124629947554
245,-2.7603266362470005,-1.67676766309659
246,-2.7,-0.1524868953414246
247,-4.330080963714618,-2.5097922832474113
248,-2.7,-0.1524868953414246
249,-2.7,-0.1524868953414247
250,-4.2264110536146555,-3.5345630219668234
251,-2.7,-0.1524868953414246
252,-2.7,-0.1795884111097013
253,-4.173601391504823,-3.982457717492125
254,-2.7,-0.33617824157281767
255,-2.7,-1.0893982764567272
256,-2.9882661330483162,-4.115919032087684
257,-3.7267415331691476,-4.060876868190831
258,-4.101269565783205,-3.98607485845769
259,-4.4807281329535575,-14.97229304628587
260,-2.7,-0.4373350998019193
261,-2.7,-0.3242659906033745
262,-2.7,-0.1524868953414246
263,-2.7,-0.1524868953414246
264,-4.24571057846246,-2.8223117847142785
