,comfort reward,energy reward
0,-0.0,-21.2169957683738
1,-0.0,-1.5248689534142459
2,-0.0,-1.5248689534142459
3,-0.0,-2.1286014035699257
4,-0.0,-2.034080177476923
5,-0.0,-1.934265775857837
6,-0.0,-1.832108825140559
7,-0.0,-1.727547473473259
8,-0.0,-108.29321573260181
9,-0.0,-7.306339429778636
10,-0.0,-1.5248689534142459
11,-0.0,-94.53047508222667
12,-0.0,-1.5248689534142459
13,-0.0,-1.5248689534142459
14,-0.0,-90.50159804586946
15,-0.0,-1.5248689534142459
16,-0.0,-19.46870113666171
17,-0.0,-1.5248689534142459
18,-0.0,-1.7962908107454971
19,-0.0,-2.155692690601013
20,-0.0,-92.33826104111786
21,-0.0,-30.08467739125247
22,-0.0,-1.5248689534142459
23,-0.0,-1.5248689534142459
24,-0.0,-1.5248689534142459
25,-0.0,-66.15343783132148
26,-0.0,-1.800558936321653
27,-0.0,-32.24944861776223
28,-0.0,-2.169882806040437
29,-0.0,-2.169882806032925
30,-0.0,-2.169882806032925
31,-0.0,-24.40174433545792
32,-3.0539679693618433,-0.34025074515228027
33,-2.7,-1.4758921890192511
34,-3.875955499608371,-4.430455587162899
35,-4.071843680977963,-4.438404990862421
36,-3.6340986165220963,-4.421694517894933
37,-3.2906765323220064,-4.433317579552713
38,-3.0791029121298883,-4.968487224282079
39,-4.438038170504878,-17.9218066317397
40,-3.1894609948566144,-4.1735371084661095
41,-2.7358688260820316,-4.4974856046275615
42,-2.7,-4.388303685725955
43,-4.35570275055944,-17.62646267170319
44,-4.482174987405126,-10.69375913888461
45,-2.9978820521178142,-3.807576220707708
46,-3.1258694923562707,-5.019662049216938
47,-2.7,-3.9327332932323573
48,-2.7,-3.414912977917892
49,-2.7,-5.150228654315637
50,-2.7,-3.4083644379534435
51,-2.7,-3.4270448874632353
52,-2.7,-4.043530251718608
53,-2.7,-4.08443532497081
54,-2.7,-4.118631500792166
55,-2.7,-4.161344682302198
56,-2.7,-4.459150420719144
57,-2.7,-4.5109410750726795
58,-4.20394171631776,-17.59150014077473
59,-2.7,-4.298550709446483
60,-2.7,-4.383309375826432
61,-4.313189674114347,-17.7974327556557
62,-2.755970277421754,-4.623749602642249
63,-2.7,-4.3176819271886036
64,-2.7,-4.374189569455257
65,-3.9253288707938516,-9.248249386279381
66,-3.9239403619928206,-6.748441046927196
67,-4.457612738039996,-15.604344800822892
68,-3.423748205321406,-4.189153731023389
69,-3.1800557768309665,-4.849643028498107
70,-3.1627142908837356,-4.298953311271443
71,-3.234458256138502,-4.346400249876905
72,-3.9890031756358506,-5.82371616449262
73,-4.474669687448653,-8.057722552932281
74,-4.8560153987581005,-5.3986951677102555
75,-4.549593662243171,-11.75878891327133
76,-5.731931980818309,-5.178436104808255
77,-6.220541032759023,-7.182607694784768
78,-6.810104377842424,-4.998997716992799
79,-7.2212883150581835,-4.911067690513171
80,-6.37045061108479,-11.817879846441071
81,-6.3016709680021865,-11.044442913667101
82,-7.65553049777734,-4.688079220005273
83,-6.966618339881232,-0.3496588324254557
84,-0.0,-20.5681137610121
85,-0.0,-1.5248689534142459
86,-0.0,-19.80133019394249
87,-0.0,-68.37143948827844
88,-0.0,-1.5248689534142459
89,-0.0,-1.5248689534142459
90,-0.0,-1.5248689534142459
91,-0.0,-1.5248689534142459
92,-0.0,-1.5248689534142459
93,-0.0,-1.5248689534142459
94,-0.0,-101.0864141479285
95,-0.0,-1.5248689534142459
96,-0.0,-73.61227901251195
97,-0.0,-35.51726604406136
98,-0.0,-1.5248689534142459
99,-0.0,-1.5248689534142459
100,-0.0,-89.51038798568916
101,-0.0,-1.5248689534142459
