,comfort reward,energy reward
0,-0.0,-76.00235584380772
1,-0.0,-105.90920977297999
2,-0.0,-122.7449261682915
3,-0.0,-42.04189372914899
4,-0.0,-76.69147315882975
5,-0.0,-76.93913773906978
6,-0.0,-102.2576765128691
7,-0.0,-23.597030363967427
8,-0.0,-53.098166107277684
9,-0.0,-20.058212131769718
10,-0.0,-32.7878543896876
11,-0.0,-81.47743702562458
12,-0.0,-74.99544497829075
13,-0.0,-95.34572334585022
14,-0.0,-46.20510086883323
15,-0.0,-123.1355482827195
16,-0.0,-40.58308282144285
17,-0.0,-47.32056878373064
18,-0.0,-174.009337207665
19,-0.0,-31.142271832227102
20,-0.0,-119.7406430815661
21,-0.0,-42.63343169183375
22,-0.0,-51.10898735853572
23,-0.0,-155.2054081956615
24,-0.0,-124.323137740156
25,-0.0,-86.46395751881494
26,-0.0,-3.264166014910843
27,-0.0,-52.19393404150495
28,-0.0,-134.1114576897483
29,-0.0,-36.07819866587568
30,-0.0,-47.64368719394046
31,-0.0,-160.179859730919
32,-4.748139875268182,-4.861942756083465
33,-2.7,-5.3946469090784595
34,-2.7,-10.54847012243815
35,-2.7,-11.27585576768555
36,-2.7,-13.13664127907535
37,-2.7,-12.15029487923516
38,-2.7,-7.677720384618075
39,-3.9225372883233676,-16.0910993309699
40,-2.7,-8.944510874971174
41,-2.7,-9.728464436289807
42,-5.6291240315133555,-15.38548697590536
43,-3.163316774071248,-9.671192096351842
44,-6.213719710477617,-13.78802263965885
45,-7.304143986472413,-13.14344683875349
46,-7.891627309968709,-10.44124688535036
47,-4.261293532123252,-8.568973619768528
48,-2.7,-8.754302808080567
49,-2.7,-9.062397583485865
50,-3.8175001203866388,-7.004784138316147
51,-6.709859010683497,-11.42989698833557
52,-7.570847106004229,-10.34141194776836
53,-2.7,-15.24220414387118
54,-7.03317525936903,-12.0371343555679
55,-6.679132807249996,-10.98534397797594
56,-2.7,-20.800508256178578
57,-4.903830378542429,-13.728746576377032
58,-2.7,-12.45232715392866
59,-5.538101618070326,-14.122092711183662
60,-6.98537380625282,-13.0435085015124
61,-2.7,-20.12770539926588
62,-4.927809131254299,-13.1953274984887
63,-2.7,-14.581710689417733
64,-6.524898780285073,-13.724793221649811
65,-4.153674342607917,-8.957768699221042
66,-4.9039167191555,-12.00586811420387
67,-2.7,-15.209407085146891
